year,round,race,track,date,driver,constructor,qualifying_position,position,points
2020,1,Austrian Grand Prix,Red Bull Ring,2020-07-05,Carlos Sainz,McLaren,8,5,10.0
2020,1,Austrian Grand Prix,Red Bull Ring,2020-07-05,Nicholas Latifi,Williams,20,11,0.0
2020,1,Austrian Grand Prix,Red Bull Ring,2020-07-05,Alexander Albon,Red Bull,5,13,0.0
2020,1,Austrian Grand Prix,Red Bull Ring,2020-07-05,George Russell,Williams,17,15,0.0
2020,2,Styrian Grand Prix,Red Bull Ring,2020-07-12,Alexander Albon,Red Bull,7,4,12.0
2020,2,Styrian Grand Prix,Red Bull Ring,2020-07-12,Carlos Sainz,McLaren,3,9,3.0
2020,2,Styrian Grand Prix,Red Bull Ring,2020-07-12,George Russell,Williams,12,16,0.0
2020,2,Styrian Grand Prix,Red Bull Ring,2020-07-12,Nicholas Latifi,Williams,18,17,0.0
2020,3,Hungarian Grand Prix,Hungaroring,2020-07-19,Alexander Albon,Red Bull,13,5,10.0
2020,3,Hungarian Grand Prix,Hungaroring,2020-07-19,Carlos Sainz,McLaren,9,9,2.0
2020,3,Hungarian Grand Prix,Hungaroring,2020-07-19,George Russell,Williams,12,18,0.0
2020,3,Hungarian Grand Prix,Hungaroring,2020-07-19,Nicholas Latifi,Williams,15,19,0.0
2020,4,British Grand Prix,Silverstone Circuit,2020-08-02,Alexander Albon,Red Bull,12,8,4.0
2020,4,British Grand Prix,Silverstone Circuit,2020-08-02,George Russell,Williams,15,12,0.0
2020,4,British Grand Prix,Silverstone Circuit,2020-08-02,Carlos Sainz,McLaren,7,13,0.0
2020,4,British Grand Prix,Silverstone Circuit,2020-08-02,Nicholas Latifi,Williams,20,15,0.0
2020,5,70th Anniversary Grand Prix,Silverstone Circuit,2020-08-09,Alexander Albon,Red Bull,9,5,10.0
2020,5,70th Anniversary Grand Prix,Silverstone Circuit,2020-08-09,Carlos Sainz,McLaren,13,13,0.0
2020,5,70th Anniversary Grand Prix,Silverstone Circuit,2020-08-09,George Russell,Williams,15,18,0.0
2020,5,70th Anniversary Grand Prix,Silverstone Circuit,2020-08-09,Nicholas Latifi,Williams,18,19,0.0
2020,6,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2020-08-16,Carlos Sainz,McLaren,7,6,8.0
2020,6,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2020-08-16,Alexander Albon,Red Bull,6,8,4.0
2020,6,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2020-08-16,George Russell,Williams,18,17,0.0
2020,6,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2020-08-16,Nicholas Latifi,Williams,19,18,0.0
2020,7,Belgian Grand Prix,Circuit de Spa-Francorchamps,2020-08-30,Alexander Albon,Red Bull,5,6,8.0
2020,7,Belgian Grand Prix,Circuit de Spa-Francorchamps,2020-08-30,Nicholas Latifi,Williams,19,16,0.0
2020,7,Belgian Grand Prix,Circuit de Spa-Francorchamps,2020-08-30,George Russell,Williams,15,19,0.0
2020,7,Belgian Grand Prix,Circuit de Spa-Francorchamps,2020-08-30,Carlos Sainz,McLaren,7,20,0.0
2020,8,Italian Grand Prix,Autodromo Nazionale di Monza,2020-09-06,Carlos Sainz,McLaren,3,2,18.0
2020,8,Italian Grand Prix,Autodromo Nazionale di Monza,2020-09-06,Nicholas Latifi,Williams,20,11,0.0
2020,8,Italian Grand Prix,Autodromo Nazionale di Monza,2020-09-06,George Russell,Williams,19,14,0.0
2020,8,Italian Grand Prix,Autodromo Nazionale di Monza,2020-09-06,Alexander Albon,Red Bull,9,15,0.0
2020,9,Tuscan Grand Prix,Autodromo Internazionale del Mugello,2020-09-13,Alexander Albon,Red Bull,4,3,15.0
2020,9,Tuscan Grand Prix,Autodromo Internazionale del Mugello,2020-09-13,George Russell,Williams,18,11,0.0
2020,9,Tuscan Grand Prix,Autodromo Internazionale del Mugello,2020-09-13,Nicholas Latifi,Williams,19,15,0.0
2020,9,Tuscan Grand Prix,Autodromo Internazionale del Mugello,2020-09-13,Carlos Sainz,McLaren,9,18,0.0
2020,10,Russian Grand Prix,Sochi Autodrom,2020-09-27,Alexander Albon,Red Bull,10,10,1.0
2020,10,Russian Grand Prix,Sochi Autodrom,2020-09-27,Nicholas Latifi,Williams,19,16,0.0
2020,10,Russian Grand Prix,Sochi Autodrom,2020-09-27,George Russell,Williams,14,18,0.0
2020,10,Russian Grand Prix,Sochi Autodrom,2020-09-27,Carlos Sainz,McLaren,6,19,0.0
2020,11,Eifel Grand Prix,Nürburgring,2020-10-11,Carlos Sainz,McLaren,10,5,10.0
2020,11,Eifel Grand Prix,Nürburgring,2020-10-11,Nicholas Latifi,Williams,18,14,0.0
