year,round,race,track,date,driver,constructor,qualifying_position,position,points
2023,6,Monaco Grand Prix,Circuit de Monaco,2023-05-28,Logan Sargeant,Williams,16.0,18,0.0
2023,7,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2023-06-04,Carlos Sainz,Ferrari,2.0,5,10.0
2023,7,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2023-06-04,Alexander Albon,Williams,18.0,16,0.0
2023,7,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2023-06-04,Logan Sargeant,Williams,20.0,20,0.0
2023,8,Canadian Grand Prix,Circuit Gilles Villeneuve,2023-06-18,Carlos Sainz,Ferrari,8.0,5,10.0
2023,8,Canadian Grand Prix,Circuit Gilles Villeneuve,2023-06-18,Alexander Albon,Williams,10.0,7,6.0
2023,8,Canadian Grand Prix,Circuit Gilles Villeneuve,2023-06-18,Logan Sargeant,Williams,19.0,20,0.0
2023,9,Austrian Grand Prix,Red Bull Ring,2023-07-02,Carlos Sainz,Ferrari,3.0,6,8.0
2023,9,Austrian Grand Prix,Red Bull Ring,2023-07-02,Alexander Albon,Williams,10.0,11,0.0
2023,9,Austrian Grand Prix,Red Bull Ring,2023-07-02,Logan Sargeant,Williams,18.0,13,0.0
2023,10,British Grand Prix,Silverstone Circuit,2023-07-09,Alexander Albon,Williams,8.0,8,4.0
2023,10,British Grand Prix,Silverstone Circuit,2023-07-09,Carlos Sainz,Ferrari,5.0,10,1.0
2023,10,British Grand Prix,Silverstone Circuit,2023-07-09,Logan Sargeant,Williams,14.0,11,0.0
2023,11,Hungarian Grand Prix,Hungaroring,2023-07-23,Carlos Sainz,Ferrari,11.0,8,4.0
2023,11,Hungarian Grand Prix,Hungaroring,2023-07-23,Alexander Albon,Williams,16.0,11,0.0
2023,11,Hungarian Grand Prix,Hungaroring,2023-07-23,Logan Sargeant,Williams,20.0,18,0.0
2023,12,Belgian Grand Prix,Circuit de Spa-Francorchamps,2023-07-30,Alexander Albon,Williams,16.0,14,0.0
2023,12,Belgian Grand Prix,Circuit de Spa-Francorchamps,2023-07-30,Logan Sargeant,Williams,18.0,17,0.0
2023,12,Belgian Grand Prix,Circuit de Spa-Francorchamps,2023-07-30,Carlos Sainz,Ferrari,5.0,19,0.0
2023,13,Dutch Grand Prix,Circuit Park Zandvoort,2023-08-27,Carlos Sainz,Ferrari,6.0,5,10.0
2023,13,Dutch Grand Prix,Circuit Park Zandvoort,2023-08-27,Alexander Albon,Williams,4.0,8,4.0
2023,13,Dutch Grand Prix,Circuit Park Zandvoort,2023-08-27,Logan Sargeant,Williams,10.0,20,0.0
2023,14,Italian Grand Prix,Autodromo Nazionale di Monza,2023-09-03,Carlos Sainz,Ferrari,1.0,3,15.0
2023,14,Italian Grand Prix,Autodromo Nazionale di Monza,2023-09-03,Alexander Albon,Williams,6.0,7,6.0
2023,14,Italian Grand Prix,Autodromo Nazionale di Monza,2023-09-03,Logan Sargeant,Williams,15.0,13,0.0
2023,15,Singapore Grand Prix,Marina Bay Street Circuit,2023-09-17,Carlos Sainz,Ferrari,1.0,1,25.0
2023,15,Singapore Grand Prix,Marina Bay Street Circuit,2023-09-17,Alexander Albon,Williams,14.0,11,0.0
2023,15,Singapore Grand Prix,Marina Bay Street Circuit,2023-09-17,Logan Sargeant,Williams,18.0,14,0.0
2023,16,Japanese Grand Prix,Suzuka Circuit,2023-09-24,Carlos Sainz,Ferrari,6.0,6,8.0
2023,16,Japanese Grand Prix,Suzuka Circuit,2023-09-24,Alexander Albon,Williams,13.0,16,0.0
2023,16,Japanese Grand Prix,Suzuka Circuit,2023-09-24,Logan Sargeant,Williams,20.0,17,0.0
2023,17,Qatar Grand Prix,Losail International Circuit,2023-10-08,Alexander Albon,Williams,14.0,13,0.0
2023,17,Qatar Grand Prix,Losail International Circuit,2023-10-08,Logan Sargeant,Williams,16.0,18,0.0
2023,17,Qatar Grand Prix,Losail International Circuit,2023-10-08,Carlos Sainz,Ferrari,12.0,20,0.0
2023,18,United States Grand Prix,Circuit of the Americas,2023-10-22,Carlos Sainz,Ferrari,4.0,3,15.0
2023,18,United States Grand Prix,Circuit of the Americas,2023-10-22,Alexander Albon,Williams,18.0,9,2.0
2023,18,United States Grand Prix,Circuit of the Americas,2023-10-22,Logan Sargeant,Williams,20.0,10,1.0
2023,19,Mexico City Grand Prix,Autódromo Hermanos Rodríguez,2023-10-29,Carlos Sainz,Ferrari,2.0,4,12.0
2023,19,Mexico City Grand Prix,Autódromo Hermanos Rodríguez,2023-10-29,Alexander Albon,Williams,14.0,9,2.0
2023,19,Mexico City Grand Prix,Autódromo Hermanos Rodríguez,2023-10-29,Logan Sargeant,Williams,20.0,16,0.0
2023,20,São Paulo Grand Prix,Autódromo José Carlos Pace,2023-11-05,Carlos Sainz,Ferrari,8.0,6,8.0
2023,20,São Paulo Grand Prix,Autódromo José Carlos Pace,2023-11-05,Logan Sargeant,Williams,19.0,11,0.0
2023,20,São Paulo Grand Prix,Autódromo José Carlos Pace,2023-11-05,Alexander Albon,Williams,15.0,19,0.0
2023,21,Las Vegas Grand Prix,Las Vegas Strip Street Circuit,2023-11-19,Carlos Sainz,Ferrari,2.0,6,8.0
2023,21,Las Vegas Grand Prix,Las Vegas Strip Street Circuit,2023-11-19,Alexander Albon,Williams,6.0,12,0.0
2023,21,Las Vegas Grand Prix,Las Vegas Strip Street Circuit,2023-11-19,Logan Sargeant,Williams,7.0,16,0.0
2023,22,Abu Dhabi Grand Prix,Yas Marina Circuit,2023-11-26,Alexander Albon,Williams,14.0,14,0.0
2023,22,Abu Dhabi Grand Prix,Yas Marina Circuit,2023-11-26,Logan Sargeant,Williams,20.0,16,0.0
2023,22,Abu Dhabi Grand Prix,Yas Marina Circuit,2023-11-26,Carlos Sainz,Ferrari,16.0,18,0.0
2024,1,Bahrain Grand Prix,Bahrain International Circuit,2024-03-02,Carlos Sainz,Ferrari,4.0,3,15.0
