year,round,race,track,date,driver,constructor,qualifying_position,position,points
2016,3,Chinese Grand Prix,Shanghai International Circuit,2016-04-17,Carlos Sainz,Toro Rosso,8.0,9,2.0
2016,3,Chinese Grand Prix,Shanghai International Circuit,2016-04-17,Valtteri Bottas,Williams,5.0,10,1.0
2016,4,Russian Grand Prix,Sochi Autodrom,2016-05-01,Valtteri Bottas,Williams,3.0,4,12.0
2016,4,Russian Grand Prix,Sochi Autodrom,2016-05-01,Felipe Massa,Williams,5.0,5,10.0
2016,4,Russian Grand Prix,Sochi Autodrom,2016-05-01,Carlos Sainz,Toro Rosso,11.0,12,0.0
2016,5,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2016-05-15,Valtteri Bottas,Williams,7.0,5,10.0
2016,5,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2016-05-15,Carlos Sainz,Toro Rosso,8.0,6,8.0
2016,5,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2016-05-15,Felipe Massa,Williams,18.0,8,4.0
2016,6,Monaco Grand Prix,Circuit de Monaco,2016-05-29,Carlos Sainz,Toro Rosso,7.0,8,4.0
2016,6,Monaco Grand Prix,Circuit de Monaco,2016-05-29,Felipe Massa,Williams,14.0,10,1.0
2016,6,Monaco Grand Prix,Circuit de Monaco,2016-05-29,Valtteri Bottas,Williams,11.0,12,0.0
2016,7,Canadian Grand Prix,Circuit Gilles Villeneuve,2016-06-12,Valtteri Bottas,Williams,7.0,3,15.0
2016,7,Canadian Grand Prix,Circuit Gilles Villeneuve,2016-06-12,Carlos Sainz,Toro Rosso,16.0,9,2.0
2016,7,Canadian Grand Prix,Circuit Gilles Villeneuve,2016-06-12,Felipe Massa,Williams,8.0,20,0.0
2016,8,European Grand Prix,Baku City Circuit,2016-06-19,Valtteri Bottas,Williams,8.0,6,8.0
2016,8,European Grand Prix,Baku City Circuit,2016-06-19,Felipe Massa,Williams,6.0,10,1.0
2016,8,European Grand Prix,Baku City Circuit,2016-06-19,Carlos Sainz,Toro Rosso,13.0,21,0.0
2016,9,Austrian Grand Prix,Red Bull Ring,2016-07-03,Carlos Sainz,Toro Rosso,15.0,8,4.0
2016,9,Austrian Grand Prix,Red Bull Ring,2016-07-03,Valtteri Bottas,Williams,8.0,9,2.0
2016,9,Austrian Grand Prix,Red Bull Ring,2016-07-03,Felipe Massa,Williams,10.0,20,0.0
2016,10,British Grand Prix,Silverstone Circuit,2016-07-10,Carlos Sainz,Toro Rosso,8.0,8,4.0
